cycle, episode_reward_sum 
94,2.0
188,0.0
282,0.0
376,1.0
470,2.0
564,1.0
658,2.0
752,1.0
846,1.0
940,3.0
1034,1.0
1128,1.0
1222,0.0
1316,1.0
1410,4.0
1504,1.0
1598,0.0
1692,1.0
1786,1.0
1880,1.0
1974,0.0
2068,1.0
2162,2.0
2256,2.0
2350,3.0
2444,1.0
2538,5.0
2632,1.0
2726,0.0
2820,2.0
2914,4.0
3008,1.0
3102,2.0
3196,1.0
3290,2.0
3384,1.0
3478,2.0
3572,2.0
3666,3.0
3760,3.0
3854,0.0
3948,0.0
4042,0.0
4136,1.0
4230,1.0
4324,1.0
4418,1.0
4512,3.0
4606,0.0
4700,2.0
4794,0.0
4888,2.0
4982,1.0
5076,2.0
5170,1.0
5264,2.0
5358,2.0
5452,2.0
5546,0.0
5640,1.0
5734,1.0
5828,0.0
5922,1.0
6016,2.0
6110,1.0
6204,2.0
6298,2.0
6392,1.0
6486,2.0
6580,1.0
6674,0.0
6768,2.0
6862,3.0
6956,2.0
7050,3.0
7144,4.0
7238,2.0
7332,1.0
7426,1.0
7520,3.0
7614,1.0
7708,0.0
7802,1.0
7896,0.0
7990,1.0
8084,1.0
8178,0.0
8272,4.0
8366,1.0
8460,0.0
8554,2.0
8648,0.0
8742,0.0
8836,1.0
8930,3.0
9024,1.0
9118,1.0
9212,1.0
9306,1.0
9400,3.0
9494,2.0
9588,1.0
9682,2.0
9776,2.0
9870,2.0
9964,0.0
10058,3.0
10152,4.0
10246,0.0
10340,1.0
10434,0.0
10528,1.0
10622,0.0
10716,3.0
10810,1.0
10904,0.0
10998,2.0
11092,2.0
